player names
VR Aaron
J Yadav
M Markande
KB Arun Karthik
DB Das
JL Pattinson
KAJ Roach
RR Rossouw
Shoaib Malik
DR Shorey
MM Sharma
WPUJC Vaas
BR Dunk
VR Iyer
JR Philippe
J Theron
S Kaul
RS Gavaskar
KJ Abbott
A Nel
PWH de Silva
Virat Singh
BCJ Cutting
JM Kemp
TL Seifert
CK Kapugedera
Azhar Mahmood
CM Gautam
M Shahrukh Khan
M Rawat
Sohail Tanvir
M Ntini
N Saini
UT Khawaja
RJ Peterson
S Badree
SB Jakati
DA Miller
MS Wade
L Ronchi
PR Shah
AC Thomas
SC Kuggeleijn
AS Raut
A Manohar
SS Tiwary
P Simran Singh
Misbah-ul-Haq
DNT Zoysa
WP Saha
YS Chahal
Mohammad Hafeez
TS Mills
MB Parmar
M Pathirana
I Udana
CV Varun
AS Rajpoot
L Ablish
A Symonds
KP Pietersen
KMDN Kulasekara
DJ Willey
YA Abdulla
Rasikh Salam
SL Malinga
KMA Paul
NB Singh
S Narwal
Sunny Singh
TM Dilshan
SK Raina
GH Vihari
MJ McClenaghan
I Sharma
AD Mathews
MJ Clarke
T Thushara
MJ Guptill
AC Voges
LRPL Taylor
BA Bhatt
SK Trivedi
HF Gurney
ST Jayasuriya
ER Dwivedi
ND Doshi
WA Mota
P Amarnath
R McLaren
PVD Chameera
AR Bawne
Y Gnaneswara Rao
KD Karthik
AB Dinda
P Prasanth
JC Buttler
SS Prabhudessai
SS Iyer
P Dubey
K Yadav
AG Paunikar
K Khejroliya
AL Menaria
AJ Finch
PK Garg
T Natarajan
Shakib Al Hasan
BJ Hodge
CJ Dala
RS Bopara
Umar Gul
A Nehra
DL Vettori
A Mithun
Bipul Sharma
Shahbaz Ahmed
MDKJ Perera
KH Pandya
S Rana
AJ Tye
MC Henriques
RR Sarwan
Shubman Gill
MD Mishra
N Pooran
AG Murtaza
SJ Srivastava
S Sreesanth
RV Uthappa
S Sandeep Warrier
A Singh
Yashpal Singh
VG Arora
JL Denly
PA Reddy
AB Agarkar
S Vidyut
Karanveer Singh
JO Holder
B Sai Sudharsan
SM Pollock
OF Smith
SB Styris
KS Williamson
B Stanlake
Basil Thampi
AD Russell
DB Ravi Teja
R Rampaul
SS Shaikh
BJ Rohrer
P Ray Barman
JJ van der Wath
Mohammed Shami
B Akhil
HV Patel
RA Tripathi
T Shamsi
K Upadhyay
R Tewatia
B Geeves
SE Rutherford
S Randiv
RR Raje
CR Woakes
A Ashish Reddy
WD Parnell
Yash Dayal
CJ Green
A Kumble
AD Mascarenhas
VS Malik
PBB Rajapaksa
AA Kazi
R Ninan
DJ Harris
RR Pant
MA Agarwal
Anand Rajan
LR Shukla
UT Yadav
AD Nath
N Rana
Kuldeep Yadav
Abhishek Sharma
ML Hayden
M Kartik
TU Deshpande
C Madan
F Behardien
CRD Fernando
JEC Franklin
SO Hetmyer
K Santokie
A Chandila
P Suyal
