"Match_id";"Date";"Season_id";"Match_number";"Super_Over";"Team1";"Team2";"No result";"Toss";"Umpire 1";"Umpire2";"Venue";"Team1players";"Team2players"
1312200.0;"2022-05-29";15.0;"Final";"N";"Rajasthan Royals";"Gujarat Titans";"";"Rajasthan Royals";"CB Gaffaney";"Nitin Menon";"Narendra Modi Stadium, Ahmedabad";"['YBK Jaiswal', 'JC Buttler', 'SV Samson', 'D Padikkal', 'SO Hetmyer', 'R Ashwin', 'R Parag', 'TA Boult', 'OC McCoy', 'M Prasidh Krishna', 'YS Chahal']";"['WP Saha', 'Shubman Gill', 'MS Wade', 'HH Pandya', 'DA Miller', 'R Tewatia', 'Rashid Khan', 'R Sai Kishore', 'LH Ferguson', 'Yash Dayal', 'Mohammed Shami']"
1312199.0;"2022-05-27";15.0;"Qualifier 2";"N";"Royal Challengers Bangalore";"Rajasthan Royals";"";"Rajasthan Royals";"CB Gaffaney";"Nitin Menon";"Narendra Modi Stadium, Ahmedabad";"['V Kohli', 'F du Plessis', 'RM Patidar', 'GJ Maxwell', 'MK Lomror', 'KD Karthik', 'Shahbaz Ahmed', 'PWH de Silva', 'HV Patel', 'JR Hazlewood', 'Mohammed Siraj']";"['YBK Jaiswal', 'JC Buttler', 'SV Samson', 'D Padikkal', 'SO Hetmyer', 'R Parag', 'R Ashwin', 'TA Boult', 'YS Chahal', 'M Prasidh Krishna', 'OC McCoy']"
1312198.0;"2022-05-25";15.0;"Eliminator";"N";"Royal Challengers Bangalore";"Lucknow Super Giants";"";"Lucknow Super Giants";"J Madanagopal";"MA Gough";"Eden Gardens, Kolkata";"['V Kohli', 'F du Plessis', 'RM Patidar', 'GJ Maxwell', 'MK Lomror', 'KD Karthik', 'Shahbaz Ahmed', 'HV Patel', 'PWH de Silva', 'JR Hazlewood', 'Mohammed Siraj']";"['Q de Kock', 'KL Rahul', 'M Vohra', 'DJ Hooda', 'MP Stoinis', 'E Lewis', 'KH Pandya', 'PVD Chameera', 'Mohsin Khan', 'Avesh Khan', 'Ravi Bishnoi']"
1312197.0;"2022-05-24";15.0;"Qualifier 1";"N";"Rajasthan Royals";"Gujarat Titans";"";"Gujarat Titans";"BNJ Oxenford";"VK Sharma";"Eden Gardens, Kolkata";"['YBK Jaiswal', 'JC Buttler', 'SV Samson', 'D Padikkal', 'SO Hetmyer', 'R Parag', 'R Ashwin', 'TA Boult', 'YS Chahal', 'M Prasidh Krishna', 'OC McCoy']";"['WP Saha', 'Shubman Gill', 'MS Wade', 'HH Pandya', 'DA Miller', 'R Tewatia', 'Rashid Khan', 'R Sai Kishore', 'AS Joseph', 'Yash Dayal', 'Mohammed Shami']"
1304116.0;"2022-05-22";15.0;"70";"N";"Sunrisers Hyderabad";"Punjab Kings";"";"Sunrisers Hyderabad";"AK Chaudhary";"NA Patwardhan";"Wankhede Stadium, Mumbai";"['PK Garg', 'Abhishek Sharma', 'RA Tripathi', 'AK Markram', 'N Pooran', 'Washington Sundar', 'R Shepherd', 'J Suchith', 'B Kumar', 'Umran Malik', 'Fazalhaq Farooqi']";"['JM Bairstow', 'S Dhawan', 'M Shahrukh Khan', 'MA Agarwal', 'LS Livingstone', 'JM Sharma', 'PN Mankad', 'Harpreet Brar', 'K Rabada', 'NT Ellis', 'Arshdeep Singh']"
1304115.0;"2022-05-21";15.0;"69";"N";"Delhi Capitals";"Mumbai Indians";"";"Mumbai Indians";"Nitin Menon";"Tapan Sharma";"Wankhede Stadium, Mumbai";"['PP Shaw', 'DA Warner', 'MR Marsh', 'RR Pant', 'SN Khan', 'R Powell', 'AR Patel', 'SN Thakur', 'Kuldeep Yadav', 'A Nortje', 'KK Ahmed']";"['Ishan Kishan', 'RG Sharma', 'D Brevis', 'Tilak Varma', 'TH David', 'Ramandeep Singh', 'DR Sams', 'HR Shokeen', 'JJ Bumrah', 'M Markande', 'RP Meredith']"
1304114.0;"2022-05-20";15.0;"68";"N";"Chennai Super Kings";"Rajasthan Royals";"";"Chennai Super Kings";"CB Gaffaney";"NA Patwardhan";"Brabourne Stadium, Mumbai";"['RD Gaikwad', 'DP Conway', 'MM Ali', 'N Jagadeesan', 'AT Rayudu', 'MS Dhoni', 'MJ Santner', 'Simarjeet Singh', 'Mukesh Choudhary', 'PH Solanki', 'M Pathirana']";"['YBK Jaiswal', 'JC Buttler', 'SV Samson', 'D Padikkal', 'R Ashwin', 'SO Hetmyer', 'R Parag', 'TA Boult', 'YS Chahal', 'M Prasidh Krishna', 'OC McCoy']"
1304113.0;"2022-05-19";15.0;"67";"N";"Gujarat Titans";"Royal Challengers Bangalore";"";"Gujarat Titans";"KN Ananthapadmanabhan";"GR Sadashiv Iyer";"Wankhede Stadium, Mumbai";"['WP Saha', 'Shubman Gill', 'MS Wade', 'HH Pandya', 'DA Miller', 'R Tewatia', 'Rashid Khan', 'R Sai Kishore', 'LH Ferguson', 'Yash Dayal', 'Mohammed Shami']";"['V Kohli', 'F du Plessis', 'GJ Maxwell', 'KD Karthik', 'RM Patidar', 'MK Lomror', 'Shahbaz Ahmed', 'HV Patel', 'PWH de Silva', 'JR Hazlewood', 'S Kaul']"
1304112.0;"2022-05-18";15.0;"66";"N";"Lucknow Super Giants";"Kolkata Knight Riders";"";"Lucknow Super Giants";"R Pandit";"YC Barde";"Dr DY Patil Sports Academy, Mumbai";"['Q de Kock', 'KL Rahul', 'E Lewis', 'DJ Hooda', 'M Vohra', 'MP Stoinis', 'JO Holder', 'K Gowtham', 'Mohsin Khan', 'Avesh Khan', 'Ravi Bishnoi']";"['VR Iyer', 'A Tomar', 'N Rana', 'SS Iyer', 'SW Billings', 'AD Russell', 'RK Singh', 'SP Narine', 'UT Yadav', 'TG Southee', 'CV Varun']"
1304111.0;"2022-05-17";15.0;"65";"N";"Sunrisers Hyderabad";"Mumbai Indians";"";"Mumbai Indians";"CB Gaffaney";"N Pandit";"Wankhede Stadium, Mumbai";"['Abhishek Sharma', 'PK Garg', 'RA Tripathi', 'N Pooran', 'AK Markram', 'KS Williamson', 'Washington Sundar', 'B Kumar', 'Umran Malik', 'T Natarajan', 'Fazalhaq Farooqi']";"['RG Sharma', 'Ishan Kishan', 'DR Sams', 'Tilak Varma', 'TH David', 'T Stubbs', 'Ramandeep Singh', 'R Sanjay Yadav', 'JJ Bumrah', 'M Markande', 'RP Meredith']"
1304110.0;"2022-05-16";15.0;"64";"N";"Delhi Capitals";"Punjab Kings";"";"Punjab Kings";"GR Sadashiv Iyer";"Nitin Menon";"Dr DY Patil Sports Academy, Mumbai";"['DA Warner', 'SN Khan', 'MR Marsh', 'Lalit Yadav', 'RR Pant', 'R Powell', 'AR Patel', 'SN Thakur', 'Kuldeep Yadav', 'A Nortje', 'KK Ahmed']";"['JM Bairstow', 'S Dhawan', 'PBB Rajapaksa', 'LS Livingstone', 'MA Agarwal', 'JM Sharma', 'Harpreet Brar', 'R Dhawan', 'RD Chahar', 'K Rabada', 'Arshdeep Singh']"
