"Match_id";"Winner";"Loser";"Result_type";"Result_details";"Man_of_match"
1312200.0;"Gujarat Titans";"Rajasthan Royals";"";"Gujarat Titans won by 7.0 wickets";"HH Pandya"
1312199.0;"Rajasthan Royals";"Royal Challengers Bangalore";"";"Rajasthan Royals won by 7.0 wickets";"JC Buttler"
1312198.0;"Royal Challengers Bangalore";"Lucknow Super Giants";"";"Royal Challengers Bangalore won by 14.0 runs";"RM Patidar"
1312197.0;"Gujarat Titans";"Rajasthan Royals";"";"Gujarat Titans won by 7.0 wickets";"DA Miller"
1304116.0;"Punjab Kings";"Sunrisers Hyderabad";"";"Punjab Kings won by 5.0 wickets";"Harpreet Brar"
1304115.0;"Mumbai Indians";"Delhi Capitals";"";"Mumbai Indians won by 5.0 wickets";"JJ Bumrah"
1304114.0;"Rajasthan Royals";"Chennai Super Kings";"";"Rajasthan Royals won by 5.0 wickets";"R Ashwin"
1304113.0;"Royal Challengers Bangalore";"Gujarat Titans";"";"Royal Challengers Bangalore won by 8.0 wickets";"V Kohli"
1304112.0;"Lucknow Super Giants";"Kolkata Knight Riders";"";"Lucknow Super Giants won by 2.0 runs";"Q de Kock"
1304111.0;"Sunrisers Hyderabad";"Mumbai Indians";"";"Sunrisers Hyderabad won by 3.0 runs";"RA Tripathi"
1304110.0;"Delhi Capitals";"Punjab Kings";"";"Delhi Capitals won by 17.0 runs";"SN Thakur"
1304109.0;"Rajasthan Royals";"Lucknow Super Giants";"";"Rajasthan Royals won by 24.0 runs";"TA Boult"
1304108.0;"Gujarat Titans";"Chennai Super Kings";"";"Gujarat Titans won by 7.0 wickets";"WP Saha"
1304107.0;"Kolkata Knight Riders";"Sunrisers Hyderabad";"";"Kolkata Knight Riders won by 54.0 runs";"AD Russell"
1304106.0;"Punjab Kings";"Royal Challengers Bangalore";"";"Punjab Kings won by 54.0 runs";"JM Bairstow"
1304105.0;"Mumbai Indians";"Chennai Super Kings";"";"Mumbai Indians won by 5.0 wickets";"DR Sams"
1304104.0;"Delhi Capitals";"Rajasthan Royals";"";"Delhi Capitals won by 8.0 wickets";"MR Marsh"
1304103.0;"Gujarat Titans";"Lucknow Super Giants";"";"Gujarat Titans won by 62.0 runs";"Shubman Gill"
1304102.0;"Kolkata Knight Riders";"Mumbai Indians";"";"Kolkata Knight Riders won by 52.0 runs";"JJ Bumrah"
1304101.0;"Chennai Super Kings";"Delhi Capitals";"";"Chennai Super Kings won by 91.0 runs";"DP Conway"
1304100.0;"Royal Challengers Bangalore";"Sunrisers Hyderabad";"";"Royal Challengers Bangalore won by 67.0 runs";"PWH de Silva"
1304099.0;"Lucknow Super Giants";"Kolkata Knight Riders";"";"Lucknow Super Giants won by 75.0 runs";"Avesh Khan"
1304098.0;"Rajasthan Royals";"Punjab Kings";"";"Rajasthan Royals won by 6.0 wickets";"YBK Jaiswal"
1304097.0;"Mumbai Indians";"Gujarat Titans";"";"Mumbai Indians won by 5.0 runs";"TH David"
1304096.0;"Delhi Capitals";"Sunrisers Hyderabad";"";"Delhi Capitals won by 21.0 runs";"DA Warner"
1304095.0;"Royal Challengers Bangalore";"Chennai Super Kings";"";"Royal Challengers Bangalore won by 13.0 runs";"HV Patel"
1304094.0;"Punjab Kings";"Gujarat Titans";"";"Punjab Kings won by 8.0 wickets";"K Rabada"
1304093.0;"Kolkata Knight Riders";"Rajasthan Royals";"";"Kolkata Knight Riders won by 7.0 wickets";"RK Singh"
1304092.0;"Chennai Super Kings";"Sunrisers Hyderabad";"";"Chennai Super Kings won by 13.0 runs";"RD Gaikwad"
1304091.0;"Lucknow Super Giants";"Delhi Capitals";"";"Lucknow Super Giants won by 6.0 runs";"Mohsin Khan"
1304090.0;"Mumbai Indians";"Rajasthan Royals";"";"Mumbai Indians won by 5.0 wickets";"SA Yadav"
1304089.0;"Gujarat Titans";"Royal Challengers Bangalore";"";"Gujarat Titans won by 6.0 wickets";"R Tewatia"
1304088.0;"Lucknow Super Giants";"Punjab Kings";"";"Lucknow Super Giants won by 20.0 runs";"KH Pandya"
1304087.0;"Delhi Capitals";"Kolkata Knight Riders";"";"Delhi Capitals won by 4.0 wickets";"Kuldeep Yadav"
1304086.0;"Gujarat Titans";"Sunrisers Hyderabad";"";"Gujarat Titans won by 5.0 wickets";"Umran Malik"
1304085.0;"Rajasthan Royals";"Royal Challengers Bangalore";"";"Rajasthan Royals won by 29.0 runs";"R Parag"
1304084.0;"Punjab Kings";"Chennai Super Kings";"";"Punjab Kings won by 11.0 runs";"S Dhawan"
1304083.0;"Lucknow Super Giants";"Mumbai Indians";"";"Lucknow Super Giants won by 36.0 runs";"KL Rahul"
1304082.0;"Sunrisers Hyderabad";"Royal Challengers Bangalore";"";"Sunrisers Hyderabad won by 9.0 wickets";"M Jansen"
1304081.0;"Gujarat Titans";"Kolkata Knight Riders";"";"Gujarat Titans won by 8.0 runs";"Rashid Khan"
1304080.0;"Rajasthan Royals";"Delhi Capitals";"";"Rajasthan Royals won by 15.0 runs";"JC Buttler"
1304079.0;"Chennai Super Kings";"Mumbai Indians";"";"Chennai Super Kings won by 3.0 wickets";"Mukesh Choudhary"
1304078.0;"Delhi Capitals";"Punjab Kings";"";"Delhi Capitals won by 9.0 wickets";"Kuldeep Yadav"
1304077.0;"Royal Challengers Bangalore";"Lucknow Super Giants";"";"Royal Challengers Bangalore won by 18.0 runs";"F du Plessis"
