"Match_id";"Inning_no";"Batting_team_id";"Bowling_team_id"
1312200;1;1;6
1312200;2;6;1
1312199;1;2;1
1312199;2;1;2
1312198;1;2;7
1312198;2;7;2
1312197;1;1;6
1312197;2;6;1
1304116;1;3;9
1304116;2;9;3
1304115;1;4;10
1304115;2;10;4
1304114;1;5;1
1304114;2;1;5
1304113;1;6;2
1304113;2;2;6
1304112;1;7;8
1304112;2;8;7
1304111;1;3;10
1304111;2;10;3
1304110;1;4;9
1304110;2;9;4
1304109;1;1;7
1304109;2;7;1
1304108;1;5;6
1304108;2;6;5
1304107;1;8;3
1304107;2;3;8
1304106;1;9;2
1304106;2;2;9
1304105;1;5;10
1304105;2;10;5
1304104;1;1;4
1304104;2;4;1
1304103;1;6;7
1304103;2;7;6
1304102;1;8;10
1304102;2;10;8
1304101;1;5;4
1304101;2;4;5
1304100;1;2;3
1304100;2;3;2
1304099;1;7;8
1304099;2;8;7
1304098;1;9;1
1304098;2;1;9
1304097;1;10;6
1304097;2;6;10
1304096;1;4;3
1304096;2;3;4
1304095;1;2;5
1304095;2;5;2
1304094;1;6;9
1304094;2;9;6
1304093;1;1;8
1304093;2;8;1
1304092;1;5;3
1304092;2;3;5
1304091;1;7;4
1304091;2;4;7
1304090;1;1;10
1304090;2;10;1
1304089;1;2;6
1304089;2;6;2
1304088;1;7;9
1304088;2;9;7
1304087;1;8;4
1304087;2;4;8
1304086;1;3;6
1304086;2;6;3
1304085;1;1;2
1304085;2;2;1
1304084;1;9;5
1304084;2;5;9
1304083;1;7;10
1304083;2;10;7
1304082;1;2;3
1304082;2;3;2
1304081;1;6;8
1304081;2;8;6
1304080;1;1;4
1304080;2;4;1
1304079;1;10;5
1304079;2;5;10
1304078;1;9;4
1304078;2;4;9
1304077;1;2;7
1304077;2;7;2
1304076;1;1;8
1304076;2;8;1
1304075;1;5;6
1304075;2;6;5
1304074;1;9;3
1304074;2;3;9
1304073;1;2;4
1304073;2;4;2
1304072;1;7;10
1304072;2;10;7
1304071;1;8;3
1304071;2;3;8
1304070;1;6;1
1304070;2;1;6
1304069;1;9;10
1304069;2;10;9
1304068;1;5;2
1304068;2;2;5
1304067;1;6;3
1304067;2;3;6
1304066;1;1;7
1304066;2;7;1
1304065;1;4;8
1304065;2;8;4
1304064;1;10;2
1304064;2;2;10
1304063;1;5;3
1304063;2;3;5
1304062;1;9;6
1304062;2;6;9
1304061;1;4;7
1304061;2;7;4
1304060;1;10;8
1304060;2;8;10
1304059;1;1;2
1304059;2;2;1
1304058;1;7;3
1304058;2;3;7
1304057;1;9;5
1304057;2;5;9
1304056;1;6;4
1304056;2;4;6
1304055;1;1;10
1304055;2;10;1
1304054;1;9;8
1304054;2;8;9
1304053;1;5;7
1304053;2;7;5
1304052;1;8;2
1304052;2;2;8
1304051;1;1;3
1304051;2;3;1
1304050;1;7;6
1304050;2;6;7
1304049;1;2;9
1304049;2;9;2
1304048;1;10;4
1304048;2;4;10
1304047;1;5;8
1304047;2;8;5
1254117;1;5;8
1254117;2;8;5
1254116;1;4;8
1254116;2;8;4
1254115;1;2;8
1254115;2;8;2
1254114;1;4;5
1254114;2;5;4
1254101;1;4;2
1254101;2;2;4
1254088;1;10;3
1254088;2;3;10
1254106;1;8;1
1254106;2;1;8
1254094;1;5;9
1254094;2;9;5
1254095;1;3;2
1254095;2;2;3
1254093;1;1;10
1254093;2;10;1
1254110;1;5;4
1254110;2;4;5
1254090;1;2;9
1254090;2;9;2
1254109;1;3;8
1254109;2;8;3
1254112;1;10;4
1254112;2;4;10
1254089;1;5;1
1254089;2;1;5
1254102;1;8;9
1254102;2;9;8
1254091;1;3;5
1254091;2;5;3
1254103;1;1;2
1254103;2;2;1
1254099;1;9;10
1254099;2;10;9
1254092;1;4;8
1254092;2;8;4
1254100;1;1;3
1254100;2;3;1
1254098;1;8;5
1254098;2;5;8
1254108;1;2;10
1254108;2;10;2
1254097;1;4;1
1254097;2;1;4
1254107;1;9;3
1254107;2;3;9
1254113;1;2;5
1254113;2;5;2
1254096;1;10;8
1254096;2;8;10
1254105;1;3;4
1254105;2;4;3
1254111;1;1;9
1254111;2;9;1
1254087;1;2;8
1254087;2;8;2
1254104;1;5;10
1254104;2;10;5
1254086;1;9;4
1254086;2;4;9
1254085;1;1;3
1254085;2;3;1
1254084;1;5;10
1254084;2;10;5
1254083;1;9;2
1254083;2;2;9
1254082;1;8;4
1254082;2;4;8
1254081;1;1;10
1254081;2;10;1
1254080;1;3;5
1254080;2;5;3
1254079;1;2;4
1254079;2;4;2
1254078;1;9;8
1254078;2;8;9
1254077;1;4;3
1254077;2;3;4
1254076;1;5;2
1254076;2;2;5
1254075;1;8;1
1254075;2;1;8
1254074;1;10;9
1254074;2;9;10
1254073;1;1;2
1254073;2;2;1
1254072;1;5;8
1254072;2;8;5
1254071;1;9;3
1254071;2;3;9
1254070;1;10;4
1254070;2;4;10
1254069;1;5;1
1254069;2;1;5
1254068;1;9;4
1254068;2;4;9
1254067;1;2;8
1254067;2;8;2
1254066;1;10;3
1254066;2;3;10
1254065;1;9;5
1254065;2;5;9
1254064;1;4;1
1254064;2;1;4
1254063;1;2;3
1254063;2;3;2
1254062;1;10;8
1254062;2;8;10
1254061;1;9;1
1254061;2;1;9
1254060;1;8;3
1254060;2;3;8
1254059;1;5;4
1254059;2;4;5
1254058;1;10;2
1254058;2;2;10
1237181;1;4;10
1237181;2;10;4
1237180;1;4;3
1237180;2;3;4
1237178;1;2;3
1237178;2;3;2
1237177;1;10;4
1237177;2;4;10
1216495;1;10;3
1216495;2;3;10
1216505;1;2;4
1216505;2;4;2
1216530;1;8;1
1216530;2;1;8
1216506;1;9;5
1216506;2;5;9
1216535;1;4;10
1216535;2;10;4
1216502;1;2;3
1216502;2;3;2
1216537;1;9;1
1216537;2;1;9
1216536;1;8;5
1216536;2;5;8
1216499;1;2;10
1216499;2;10;2
1216524;1;3;4
