"year";"winner";"man_of_tournament";"season_id"
2008;"Rajasthan Royals";"Shane Watson";1
2009;"Deccan Chargers";"Adam Gilchrist";2
2010;"Chennai Super Kings";"Suresh Raina";3
2011;"Chennai Super Kings";"Chris Gayle";4
2012;"Kolkata Knight Riders";"Sunil Narine";5
2013;"Mumbai Indians";"Kieron Pollard";6
2014;"Kolkata Knight Riders";"Glenn Maxwell";7
2015;"Mumbai Indians";"Andre Russell";8
2016;"Sunrisers Hyderabad";"Virat Kohli";9
2017;"Mumbai Indians";"Ben Stokes";10
2018;"Chennai Super Kings";"Sunil Narine";11
2019;"Mumbai Indians";"Andre Russell";12
2020;"Mumbai Indians";"Jofra Archer";13
2021;"Chennai Super Kings";"Harshal Patel";14
2022;"Gujarat Titans";"Hardik Pandya";15
