"team_id";"team_name";"home_ground"
1;"Rajasthan Royals";"Sawai Mansingh Stadium, Jaipur"
2;"Royal Challengers Bangalore";"M. Chinnaswamy Stadium, Bengaluru"
3;"Sunrisers Hyderabad";"Rajiv Gandhi International Cricket Stadium, Hyderabad"
4;"Delhi Capitals";"Arun Jaitley Stadium, Delhi"
5;"Chennai Super Kings";"M. A. Chidambaram Stadium, Chennai"
6;"Gujarat Titans";"Sardar Patel Stadium, Ahmedabad"
7;"Lucknow Super Giants";"Atal Bihari Vajpayee Ekana Cricket Stadium, Lucknow"
8;"Kolkata Knight Riders";"Eden Gardens, Kolkata"
9;"Punjab Kings";"Punjab Cricket Association Stadium, Mohali"
10;"Mumbai Indians";"Wankhede Stadium, Mumbai"
11;"Rising Pune Supergiants";"Maharashtra Cricket Association Stadium, Pune"
12;"Gujarat Lions";"Saurashtra Cricket Association Stadium, Rajkot"
13;"Pune Warriors";"Maharashtra Cricket Association Stadium, Pune"
14;"Deccan Chargers";"Rajiv Gandhi International Cricket Stadium, Hyderabad"
15;"Kochi Tuskers Kerala";"Jawaharlal Nehru International Stadium, Kochi"
